ID,OUT,Family,Friends,Leisure,Politics,Work,Religion
11,Columbia,1,1,2,3,2,1
12,Columbia,2,2,2,2,1,2
13,Columbia,1,2,2,3,1,1
14,Columbia,1,1,1,3,1,2
15,Columbia,1,2,1,3,1,1
16,Columbia,1,2,2,3,1,3
17,Columbia,1,1,2,3,1,2
18,Columbia,1,2,2,3,2,1
19,Columbia,2,1,1,3,1,2
20,Columbia,1,1,3,3,1,2
21,Columbia,1,1,2,1,1,1
22,Columbia,1,2,3,4,1,1
23,Columbia,1,2,1,4,2,1
24,Columbia,1,2,2,1,1,1
25,Columbia,1,1,1,2,1,1
26,Columbia,2,2,1,4,1,1
27,Columbia,2,1,3,4,2,1
28,Columbia,1,1,3,3,1,1
29,Columbia,2,1,2,1,1,2
30,Columbia,1,1,1,2,1,3
1523,Japan,1,2,2,1,2,4
1524,Japan,1,2,2,2,2,4
1525,Japan,1,1,1,1,1,1
1526,Japan,1,2,1,1,2,3
1527,Japan,1,2,2,3,1,3
1528,Japan,1,2,2,2,1,4
1529,Japan,1,1,1,3,1,3
1530,Japan,1,2,1,2,2,4
1531,Japan,1,1,2,1,1,3
1532,Japan,2,1,1,3,2,4
1533,Japan,1,2,1,1,1,4
1534,Japan,2,2,2,2,2,4
1535,Japan,1,2,2,1,1,3
1536,Japan,1,2,2,-1,1,-1
1537,Japan,1,1,2,3,1,4
1538,Japan,4,1,3,3,1,3
1539,Japan,1,2,2,2,2,2
1540,Japan,1,2,2,1,1,4
1541,Japan,1,1,1,2,2,3
1542,Japan,1,1,1,4,2,4
3966,US,1,1,1,2,2,4
3967,US,1,-2,2,4,2,4
3968,US,1,1,1,2,1,1
3969,US,1,1,2,2,1,1
3970,US,1,2,2,3,2,2
3971,US,1,1,1,1,1,1
3972,US,1,1,1,2,2,3
3973,US,1,3,3,1,1,4
3974,US,1,1,2,3,2,2
3975,US,1,1,1,2,2,3
3976,US,1,1,1,3,2,1
3977,US,1,1,1,3,2,1
3978,US,1,1,2,2,2,1
3979,US,-2,-2,-2,-2,-2,-2
3980,US,1,1,1,3,2,-2
3981,US,1,1,2,1,1,2
3982,US,1,1,2,3,1,3
3983,US,1,3,2,4,4,4
3984,US,1,1,2,1,1,1
3985,US,1,2,1,3,1,3
