ID,OUT,Family,Friends,Leisure,Politics,Work,Religion
51,Columbia,1,2,1,3,2,1
52,Columbia,1,2,1,3,1,1
53,Columbia,1,1,2,3,1,3
54,Columbia,1,3,3,4,2,1
55,Columbia,1,1,3,3,2,2
56,Columbia,2,1,1,3,2,2
57,Columbia,1,2,3,4,1,1
58,Columbia,2,1,4,4,1,1
59,Columbia,1,1,1,2,1,1
60,Columbia,2,2,2,3,1,2
61,Columbia,1,2,1,1,2,2
62,Columbia,1,2,1,2,1,1
63,Columbia,2,2,1,3,1,2
64,Columbia,1,3,1,4,1,1
65,Columbia,1,3,2,3,1,1
66,Columbia,2,3,1,4,1,1
67,Columbia,1,1,1,4,1,1
68,Columbia,1,3,3,4,1,2
69,Columbia,1,2,2,3,1,1
70,Columbia,1,3,2,3,1,2
1563,Japan,1,1,1,2,1,-1
1564,Japan,1,2,2,2,1,3
1565,Japan,2,1,1,1,1,4
1566,Japan,1,1,2,2,1,3
1567,Japan,1,1,2,-1,1,4
1568,Japan,1,2,2,2,1,3
1569,Japan,1,2,3,3,1,4
1570,Japan,1,1,1,2,1,2
1571,Japan,1,1,2,2,2,3
1572,Japan,2,1,2,4,2,4
1573,Japan,1,1,2,2,2,3
1574,Japan,1,1,1,2,1,4
1575,Japan,1,1,2,1,1,3
1576,Japan,1,2,2,1,1,4
1577,Japan,1,1,1,1,1,4
1578,Japan,1,1,2,2,1,-1
1579,Japan,1,2,2,3,1,4
1580,Japan,1,2,2,2,1,4
1581,Japan,1,1,1,1,1,2
1582,Japan,1,1,1,3,2,4
4006,US,1,1,3,3,1,1
4007,US,1,1,2,2,2,1
4008,US,3,3,3,3,1,4
4009,US,1,1,2,2,2,1
4010,US,1,1,1,1,1,1
4011,US,1,2,3,4,2,3
4012,US,1,1,4,2,2,2
4013,US,3,1,1,3,1,1
4014,US,1,1,1,2,2,3
4015,US,1,1,1,2,1,1
4016,US,1,2,1,4,2,3
4017,US,1,1,2,1,3,4
4018,US,1,3,2,4,4,1
4019,US,1,2,2,3,2,1
4020,US,1,2,1,3,2,1
4021,US,1,1,2,2,2,1
4022,US,1,2,2,4,2,3
4023,US,1,2,2,1,1,1
4024,US,1,1,2,2,1,2
4025,US,1,1,1,2,2,1
